St,Col_1_2020,Col_6_2020,Col_1_2021,Col_6_2021,Col_1_2022,Col_6_2022,Col_1_2023
Alabama,0,643,4228,6285,5299,3209,1073
Alaska,0,9,243,110,576,293,162
Arizona,0,910,8104,8614,6601,5623,0
Arkansas,0,133,3578,2123,3314,2340,1203
California,0,4697,28479,29701,12885,14865,6935
Colorado,0,1456,3417,1707,3750,2186,1260
Connecticut,0,3942,2053,2249,916,1813,61
Delaware,0,368,562,731,625,672,248
District of Columbia,0,468,320,346,77,135,46
Florida,0,2459,19211,15199,25672,12047,9018
Georgia,0,2077,7812,10949,10605,6755,3219
Hawaii,0,17,252,231,590,367,301
Idaho,0,83,1353,654,2072,780,361
Illinois,0,5412,12759,7060,5786,7144,1220
Indiana,0,1975,6396,5257,5409,4675,1238
Iowa,0,537,3360,2158,1803,1745,784
Kansas,0,214,2664,2198,1597,2266,777
Kentucky,0,439,2183,4445,5051,3827,1725
Louisiana,0,2688,4798,3106,4394,2346,804
Maine,0,89,341,395,706,815,444
Montana,0,18,944,651,1293,494,221
Nebraska,0,172,1492,566,1111,953,268
Nevada,0,432,2665,2493,2830,2476,855
New Hampshire,0,245,496,615,605,578,222
New Jersey,0,11721,7439,6999,2894,4674,1641
New Mexico,0,362,2140,1762,1591,1942,1017
New York,0,29745,8057,15144,6343,9507,5999
North Carolina,0,896,5851,6354,6298,5254,2976
North Dakota,0,61,1248,203,495,225,0
Ohio,0,2203,6759,10899,9586,9181,2300
Oklahoma,0,350,4535,3702,3264,4199,1344
Oregon,0,154,1323,1197,2981,1984,1087
Maryland,0,2455,3496,3619,2188,2855,965
Massachusetts,0,7028,5395,5460,2390,354,408
Michigan,0,5514,7501,7374,8630,7388,4360
Minnesota,0,1048,4275,2104,3089,2122,168
Mississippi,0,739,4077,2502,3132,2015,632
Missouri,0,772,4768,3540,6994,3919,-512
Pennsylvania,0,5536,10678,11000,9500,8540,3638
Rhode Island,0,720,992,1000,372,495,188
South Carolina,0,500,4796,4440,4900,3233,0
South Dakota,0,62,1426,526,460,454,190
Tennessee,0,364,6543,5549,8395,5632,1630
Texas,0,1936,29557,19450,23923,11971,2997
Utah,0,113,1161,1028,1485,990,410
Vermont,0,55,81,119,216,199,121
Virginia,0,1381,3698,6115,4393,4813,2270
Washington,0,1124,1972,2693,4064,3093,2092
West Virginia,0,75,1286,1436,2539,1626,710
Wisconsin,1,658,5720,1848,2955,3456,1164
Wyoming,0,17,421,282,806,294,138
